race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202106030205	2021-03-28	1	0.0	1800	3.0	1	1	6
202106030206	2021-03-28	0	0.0	1200	3.0	1	2	6
202106030207	2021-03-28	0	0.0	1800	1.0	1	2	6
202106030208	2021-03-28	1	0.0	1800	1.0	2	3	6
202106030209	2021-03-28	1	0.0	2000	1.0	2	2	6
202106030210	2021-03-28	1	0.0	1600	1.0	2	4	6
202106030211	2021-03-28	0	0.0	1800	1.0	1	6	6
202106030212	2021-03-28	0	0.0	1800	1.0	1	3	6
202106030301	2021-04-03	0	0.0	1800	0.0	0	1	6
202106030302	2021-04-03	0	0.0	1200	0.0	0	1	6
202106030303	2021-04-03	0	0.0	1800	0.0	0	1	6
202106030304	2021-04-03	0	0.0	1200	0.0	0	1	6
202106030305	2021-04-03	1	0.0	2000	0.0	0	1	6
202106030306	2021-04-03	0	0.0	1800	0.0	0	1	6
202106030307	2021-04-03	1	0.0	1600	0.0	0	2	6
202106030308	2021-04-03	0	0.0	2400	0.0	0	2	6
202106030309	2021-04-03	1	0.0	2500	0.0	0	5	6
202106030310	2021-04-03	0	0.0	1200	0.0	0	5	6
202106030311	2021-04-03	1	0.0	1600	0.0	0	6	6
202106030312	2021-04-03	0	0.0	1200	0.0	0	2	6
202106030401	2021-04-04	0	0.0	1200	0.0	0	1	6
202106030402	2021-04-04	0	0.0	1800	0.0	0	1	6
202106030403	2021-04-04	0	0.0	1200	0.0	0	1	6
202106030404	2021-04-04	3		2880	0.0	0	1	6
202106030405	2021-04-04	1	0.0	2200	1.0	0	1	6
202106030406	2021-04-04	0	0.0	1800	1.0	0	2	6
202106030407	2021-04-04	1	0.0	1600	1.0	0	2	6
202106030408	2021-04-04	0	0.0	1800	1.0	0	2	6
202106030409	2021-04-04	1	0.0	2200	1.0	0	2	6
202106030410	2021-04-04	1	0.0	1600	1.0	0	5	6
202106030411	2021-04-04	1	0.0	2000	1.0	0	4	6
202106030412	2021-04-04	0	0.0	1800	1.0	0	3	6
202106030501	2021-04-10	0	0.0	1200	0.0	0	1	6
202106030502	2021-04-10	0	0.0	1800	0.0	0	1	6
202106030503	2021-04-10	0	0.0	1200	0.0	0	1	6
202106030504	2021-04-10	0	0.0	1800	0.0	0	1	6
202106030505	2021-04-10	1	0.0	2000	0.0	0	1	6
